year,site_label,sample_label,site,site_id,region,otter_dens,sample_no,epi_type,filter_wgt_mg,filter_alum_wgt_mg,dry_wgt_mg,final_dry_wgt_mg,filtration_method,notes
2014,SEA_Sandspit_2014,EPI 07 ,Choked_Sandspit,CS,Choked,Low,7,filtered,NA,,,0,>500um,
2014,SEA_Sandspit_2014,EPI 09,Choked_Sandspit,CS,Choked,Low,9,filtered,NA,,,0,>500um,
2014,SEA_Sandspit_2014,EPI 03 ,Choked_Sandspit,CS,Choked,Low,3,filtered,NA,,,0,>500um,
2014,SEA_Sandspit_2014,EPI 06 ,Choked_Sandspit,CS,Choked,Low,6,filtered,NA,,,0,>500um,
2014,SEA_Sandspit_2014,EPI 02 ,Choked_Sandspit,CS,Choked,Low,2,filtered,NA,,,0,>500um,
2014,SEA_Sandspit_2014,EPI 05,Choked_Sandspit,CS,Choked,Low,5,filtered,NA,,,0,>500um,
2014,SEA_Sandspit_2014,EPI 04 ,Choked_Sandspit,CS,Choked,Low,4,filtered,NA,,,0,>500um,
2014,SEA_Goose_W_2014,EPI 08,Goose_West,GW,Goose,High,8,filtered,132.4,637,814.6,177.6,full,
2014,SEA_Goose_W_2014,EPI 04,Goose_West,GW,Goose,High,4,filtered,132.1,697,777.4,80.4,full,
2014,SEA_Goose_W_2014,EPI 09,Goose_West,GW,Goose,High,9,filtered,125.8,776.7,922.6,145.9,full,
2014,SEA_Goose_W_2014,EPI 02,Goose_West,GW,Goose,High,2,filtered,125.6,577.1,612.6,35.5,full,
2014,SEA_Goose_W_2014,EPI 07,Goose_West,GW,Goose,High,7,filtered,131,643.1,687.2,44.1,full,
2014,SEA_Triquet_B_2014,EPI 09,Triquet_Bay,TB,Triquet,Low,9,filtered,126.5,652.6,742.7,90.1,full,
2014,SEA_Triquet_B_2014,EPI 08,Triquet_Bay,TB,Triquet,Low,8,filtered,126.7,541.4,570.7,29.3,full,
2014,SEA_Triquet_B_2014,EPI 03,Triquet_Bay,TB,Triquet,Low,3,filtered,124.2,518.3,757.3,239,full,
2014,SEA_Triquet_B_2014,EPI 01 1,Triquet_Bay,TB,Triquet,Low,1,filtered,124.9,569.5,945.9,376.4,mf,
2014,SEA_Triquet_B_2014,EPI 01 2,Triquet_Bay,TB,Triquet,Low,1,filtered,127.1,707.8,738.9,31.1,mf,
2014,SEA_McMullin_S_2014,EPI 03 1,McMullin_South,MS,McMullin,High,3,filtered,131.4,578.5,608.9,30.4,mf,
2014,SEA_McMullin_S_2014,EPI 03 2,McMullin_South,MS,McMullin,High,3,filtered,132.8,458.8,467.7,8.9,mf,
2014,SEA_McMullin_S_2014,EPI 08 1,McMullin_South,MS,McMullin,High,8,filtered,127.2,709.4,729.6,20.2,mf,
2014,SEA_McMullin_S_2014,EPI 08 2,McMullin_South,MS,McMullin,High,8,filtered,125.3,586.4,617.5,31.1,mf,
2014,SEA_McMullin_S_2014,EPI 09 1,McMullin_South,MS,McMullin,High,9,filtered,126.6,462.3,504.6,42.3,mf,
2014,SEA_McMullin_S_2014,EPI 09 2,McMullin_South,MS,McMullin,High,9,filtered,126.5,459.4,499.3,39.9,mf,
2014,SEA_McMullin_S_2014,EPI 01 1,McMullin_South,MS,McMullin,High,1,filtered,126.9,542.6,557.8,15.2,mf,
2014,SEA_McMullin_S_2014,EPI 01 2,McMullin_South,MS,McMullin,High,1,filtered,132,570,591.6,21.6,mf,
2014,SEA_McMullin_S_2014,EPI 01 3,McMullin_South,MS,McMullin,High,1,filtered,128.3,458,481.4,23.4,mf,
2014,SEA_McMullin_S_2014,EPI 06,McMullin_South,MS,McMullin,High,6,filtered,130.1,416.2,446,29.8,subsample,
2014,SEA_McMullin_S_2014,EPI 04,McMullin_South,MS,McMullin,High,4,filtered,127,416.9,432.8,15.9,subsample,
2014,SEA_L_Choked_2014,EPI 05 1,Choked_Lower,CL,Choked,Low,5,filtered,127.5,426.9,443.4,16.5,subsample,
2014,SEA_L_Choked_2014,EPI 05 2,Choked_Lower,CL,Choked,Low,5,filtered,132.4,439.1,463.3,24.2,subsample,2 filters needed
2014,SEA_L_Choked_2014,EPI 05 3,Choked_Lower,CL,Choked,Low,5,filtered,126.1,462.4,491.5,29.1,subsample,
